auc,degradation,fold,method,test_subjects
0.20081689523527968,structured_realistic_clutter,loso_test_p7_val_p1,robhar_like,p7
0.4007939446677743,point_missing,loso_test_p7_val_p1,pct_gru,p7
0.4483163558313167,coordinate_noise,loso_test_p7_val_p1,pct_gru,p7
0.28072604158466474,strong_synthetic_clutter,loso_test_p7_val_p1,pct_gru,p7
0.33374062280535743,structured_realistic_clutter,loso_test_p7_val_p1,pct_gru,p7
0.5462010494948063,point_missing,loso_test_p7_val_p1,dgcnn_gru,p7
0.6049909987637748,coordinate_noise,loso_test_p7_val_p1,dgcnn_gru,p7
0.08105040447077316,strong_synthetic_clutter,loso_test_p7_val_p1,dgcnn_gru,p7
0.22765673615524976,structured_realistic_clutter,loso_test_p7_val_p1,dgcnn_gru,p7
0.5462865329028359,point_missing,loso_test_p7_val_p1,radar_stnet,p7
0.6136387798613415,coordinate_noise,loso_test_p7_val_p1,radar_stnet,p7
0.19798010358453313,strong_synthetic_clutter,loso_test_p7_val_p1,radar_stnet,p7
0.3024985564649336,structured_realistic_clutter,loso_test_p7_val_p1,radar_stnet,p7
