degradation,fold,level,method,runs,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,test_subjects,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std
structured_realistic_clutter,loso_test_p6_val_p7,0.02,dgcnn_gru,5,0.7517123287671234,0.0014980989105806408,0.6889590159342361,0.0022362839660308707,p6,0.7666666666666667,0.0,0.6976190476190476,0.0011664236870396044
structured_realistic_clutter,loso_test_p6_val_p7,0.05,dgcnn_gru,5,0.5201598173515982,0.023795282933816064,0.496924822480608,0.03455616538687403,p6,0.5266666666666666,0.038873012632301994,0.5032016806722689,0.048962174717993925
structured_realistic_clutter,loso_test_p6_val_p7,0.1,dgcnn_gru,5,0.17670471841704719,0.05354965062270864,0.1347515252457327,0.07025264945866604,p6,0.18,0.0805536398239638,0.127739057506577,0.10034842119954554
structured_realistic_clutter,loso_test_p6_val_p7,0.15,dgcnn_gru,5,0.11445966514459664,0.013556402699651264,0.04243402537238602,0.020210994979395023,p6,0.11333333333333333,0.01632993161855452,0.03949193548387096,0.024910709430460306
structured_realistic_clutter,loso_test_p6_val_p7,0.2,dgcnn_gru,5,0.10363774733637747,0.0031969449321200753,0.02618271821397291,0.005823363581062443,p6,0.1,0.0,0.019241935483870966,0.0004656516139758731
structured_realistic_clutter,loso_test_p6_val_p7,0.3,dgcnn_gru,5,0.10004566210045662,9.132420091323979e-05,0.018960205024542504,0.0004039587059301975,p6,0.1,0.0,0.01875733137829912,0.0003710503194171433
point_missing,loso_test_p6_val_p7,0.0,radar_stnet,1,0.9974885844748859,0.0,0.9974850016008181,0.0,p6,1.0,0.0,1.0,0.0
point_missing,loso_test_p6_val_p7,0.1,radar_stnet,5,0.9977701674277016,0.00010922907225576747,0.9977667145700165,0.00010931541510797814,p6,1.0,0.0,1.0,0.0
point_missing,loso_test_p6_val_p7,0.2,radar_stnet,5,0.9978462709284626,0.00012176560121766045,0.9978426349380467,0.00012204308709344222,p6,1.0,0.0,1.0,0.0
point_missing,loso_test_p6_val_p7,0.3,radar_stnet,5,0.9979680365296805,7.456589780162154e-05,0.997964574708466,7.48887680975847e-05,p6,1.0,0.0,1.0,0.0
