fold,method,params,sample_accuracy,sample_count,sample_macro_f1,sample_weighted_f1,seconds,test_subjects,train_subjects,trial_accuracy,trial_count,trial_macro_f1,trial_weighted_f1,val_subjects
loso_test_p2_val_p3,pointnet_gru,292875,0.7530060882800609,26280,0.7331877019222486,0.7331877019222485,1620.83,p2,"p1,p4,p5,p6,p7",0.8333333333333334,30,0.7916666666666666,0.7916666666666666,p3
loso_test_p2_val_p3,pointnet_tcn,120075,0.840220700152207,26280,0.8355377881384832,0.8355377881384833,1719.98,p2,"p1,p4,p5,p6,p7",0.9333333333333333,30,0.925,0.925,p3
loso_test_p2_val_p3,robhar_like,209963,0.6294520547945206,26280,0.5662582096639053,0.566258209663905,1721.91,p2,"p1,p4,p5,p6,p7",0.6666666666666666,30,0.5733333333333334,0.5733333333333334,p3
loso_test_p2_val_p3,pct_gru,533003,0.6415525114155252,26280,0.6002972989748004,0.6002972989748003,3135.28,p2,"p1,p4,p5,p6,p7",0.7,30,0.628095238095238,0.628095238095238,p3
loso_test_p2_val_p3,dgcnn_gru,301067,0.8163622526636225,26280,0.7832168174884101,0.7832168174884101,5143.12,p2,"p1,p4,p5,p6,p7",0.8666666666666667,30,0.8323809523809522,0.8323809523809523,p3
loso_test_p2_val_p3,radar_stnet,813947,0.9139649923896499,26280,0.9129268464915338,0.9129268464915339,2025.96,p2,"p1,p4,p5,p6,p7",1.0,30,1.0,1.0,p3
loso_test_p3_val_p4,stats_svm,0,0.543531202435312,26280,0.49486808224337164,0.49486808224337153,222.32,p3,"p1,p2,p5,p6,p7",0.6,30,0.5419047619047619,0.541904761904762,p4
loso_test_p3_val_p4,stats_rf,0,0.39984779299847795,26280,0.29540856600736054,0.29540856600736054,209.97,p3,"p1,p2,p5,p6,p7",0.36666666666666664,30,0.23285714285714282,0.23285714285714285,p4
loso_test_p3_val_p4,stats_knn,0,0.3263318112633181,26280,0.23135543769733063,0.2313554376973306,219.88,p3,"p1,p2,p5,p6,p7",0.3,30,0.17529411764705882,0.17529411764705882,p4
loso_test_p3_val_p4,pointnet_gru,292875,0.6500380517503805,26280,0.5897162254096904,0.5897162254096904,1613.21,p3,"p1,p2,p5,p6,p7",0.6666666666666666,30,0.6002597402597403,0.6002597402597403,p4
loso_test_p3_val_p4,pointnet_tcn,120075,0.8340182648401826,26280,0.8007859209675701,0.8007859209675702,1591.44,p3,"p1,p2,p5,p6,p7",0.9,30,0.8666666666666666,0.8666666666666667,p4
loso_test_p3_val_p4,robhar_like,209963,0.5488584474885845,26280,0.4595494142391926,0.45954941423919254,1602.71,p3,"p1,p2,p5,p6,p7",0.6,30,0.5,0.5,p4
loso_test_p3_val_p4,pct_gru,533003,0.6066971080669711,26280,0.5401223945194346,0.5401223945194347,3053.51,p3,"p1,p2,p5,p6,p7",0.6666666666666666,30,0.6057142857142856,0.6057142857142856,p4
