
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] robhar_like epoch 014/30 | train_loss=0.1321 | train_acc=0.9998 | val_f1=0.6056
[loso_test_p1_val_p2] robhar_like epoch 015/30 | train_loss=0.1318 | train_acc=0.9999 | val_f1=0.5437
[loso_test_p1_val_p2] robhar_like epoch 016/30 | train_loss=0.1317 | train_acc=1.0000 | val_f1=0.5974
[loso_test_p1_val_p2] robhar_like epoch 017/30 | train_loss=0.1318 | train_acc=0.9999 | val_f1=0.6604
[loso_test_p1_val_p2] robhar_like epoch 018/30 | train_loss=0.1315 | train_acc=1.0000 | val_f1=0.6248
[loso_test_p1_val_p2] robhar_like epoch 019/30 | train_loss=0.1315 | train_acc=1.0000 | val_f1=0.6651
[loso_test_p1_val_p2] robhar_like epoch 020/30 | train_loss=0.1315 | train_acc=0.9999 | val_f1=0.6038
[loso_test_p1_val_p2] robhar_like epoch 021/30 | train_loss=0.1315 | train_acc=1.0000 | val_f1=0.6146
[loso_test_p1_val_p2] robhar_like epoch 022/30 | train_loss=0.1314 | train_acc=1.0000 | val_f1=0.6809
[loso_test_p1_val_p2] robhar_like epoch 023/30 | train_loss=0.1314 | train_acc=1.0000 | val_f1=0.6309
[loso_test_p1_val_p2] robhar_like epoch 024/30 | train_loss=0.1314 | train_acc=1.0000 | val_f1=0.5785
[loso_test_p1_val_p2] robhar_like epoch 025/30 | train_loss=0.1313 | train_acc=1.0000 | val_f1=0.6147
[loso_test_p1_val_p2] robhar_like epoch 026/30 | train_loss=0.1313 | train_acc=1.0000 | val_f1=0.6008
[loso_test_p1_val_p2] robhar_like epoch 027/30 | train_loss=0.1313 | train_acc=1.0000 | val_f1=0.6127
[loso_test_p1_val_p2] robhar_like epoch 028/30 | train_loss=0.1313 | train_acc=1.0000 | val_f1=0.6048
[loso_test_p1_val_p2] robhar_like epoch 029/30 | train_loss=0.1314 | train_acc=1.0000 | val_f1=0.5902
[loso_test_p1_val_p2] robhar_like epoch 030/30 | train_loss=0.1313 | train_acc=1.0000 | val_f1=0.5810

