degradation,fold,level,method,runs,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,test_subjects,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std
strong_synthetic_clutter,loso_test_p1_val_p2,0.6,pointnet_gru,5,0.10270167427701675,0.0002320844852660133,0.02302397376820655,0.00019889366248409287,p1,0.1,0.0,0.02,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.8,pointnet_gru,5,0.10102739726027396,5.8949518207116555e-05,0.021427237364691053,5.1870160212766966e-05,p1,0.1,0.0,0.02,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.5366057838660578,0.0,0.4588973420398811,0.0,p1,0.6,0.0,0.5207142857142857,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.02,pointnet_gru,5,0.5336605783866057,0.0013402861468950443,0.47070642167609017,0.001207619689825985,p1,0.6,0.0,0.5357142857142858,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.05,pointnet_gru,5,0.4711719939117199,0.02184020115847954,0.4067968183788623,0.03160793003364071,p1,0.5199999999999999,0.016329931618554516,0.4354992784992785,0.02248862560495313
structured_realistic_clutter,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.2798706240487062,0.04891420120317371,0.20985834892390803,0.04162071884787363,p1,0.31999999999999995,0.06863753427324668,0.23052880452880453,0.04686944348249136
structured_realistic_clutter,loso_test_p1_val_p2,0.15,pointnet_gru,5,0.22610350076103503,0.046875148027060054,0.1528570685616676,0.04287730954664667,p1,0.24000000000000005,0.04422166387140533,0.15491414141414142,0.0513552668409271
structured_realistic_clutter,loso_test_p1_val_p2,0.2,pointnet_gru,5,0.20105783866057836,0.04858468827081845,0.12562464169438906,0.04697616111605052,p1,0.2066666666666667,0.06463573143221772,0.12058851674641147,0.06929707253858333
structured_realistic_clutter,loso_test_p1_val_p2,0.3,pointnet_gru,5,0.15614916286149164,0.0381745628456806,0.08035371752560658,0.029408432973446242,p1,0.14666666666666667,0.06182412330330468,0.07217843026538678,0.05492359246080043
point_missing,loso_test_p1_val_p2,0.0,pointnet_tcn,1,0.5780441400304414,0.0,0.5031494945765982,0.0,p1,0.6666666666666666,0.0,0.5633333333333334,0.0
