variant,degradation,level,seed,sample_accuracy,sample_macro_f1,sample_weighted_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count
no_tcn,missing,0.3,1,0.9003044140030442,0.8907236473476731,0.890723647347673,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.3,2,0.9001141552511416,0.890764648507394,0.8907646485073939,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.4,0,0.900875190258752,0.8932395328326741,0.8932395328326743,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.4,1,0.9009512937595129,0.8934254781835383,0.8934254781835381,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.4,2,0.9014459665144596,0.8942360863421778,0.8942360863421774,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.5,0,0.8994672754946728,0.8935975101783896,0.8935975101783896,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.5,1,0.8992770167427702,0.8936215582830762,0.8936215582830762,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.5,2,0.9003805175038052,0.894532208871853,0.894532208871853,26280,0.9333333333333333,0.925,30
no_tcn,missing,0.6,0,0.8920091324200913,0.88861965209174,0.88861965209174,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,missing,0.6,1,0.8903348554033486,0.8868298804010722,0.8868298804010722,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,missing,0.6,2,0.8929223744292237,0.8895044155324656,0.8895044155324656,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,missing,0.7,0,0.8684931506849315,0.8670945460541842,0.8670945460541843,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,missing,0.7,1,0.8708904109589041,0.8697329051560903,0.8697329051560903,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,missing,0.7,2,0.8704718417047184,0.8692576953408029,0.8692576953408029,26280,0.9666666666666667,0.9657142857142859,30
no_tcn,noise,0.0,0,0.8962709284627093,0.883690461050391,0.883690461050391,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.01,0,0.8947488584474886,0.88182863850119,0.8818286385011902,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.01,1,0.8947869101978692,0.8819881266734176,0.8819881266734175,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.01,2,0.8947869101978692,0.8817599184346594,0.8817599184346593,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.02,0,0.891324200913242,0.877328473624382,0.8773284736243822,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.02,1,0.8907534246575343,0.8765836888831684,0.8765836888831684,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.02,2,0.8908675799086758,0.8768048048411913,0.8768048048411914,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.05,0,0.8715753424657534,0.851685875250751,0.851685875250751,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.05,1,0.8716514459665144,0.8511166129359176,0.8511166129359178,26280,0.9,0.8666666666666666,30
