variant,degradation,level,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std,runs
no_tcn,clutter,0.1,0.2861998985286656,0.0004876302076798854,0.17812648954539712,0.0004982079866822697,0.3,0.0,0.1818181818181818,2.7755575615628914e-17,3
no_tcn,clutter,0.2,0.2484271943176053,0.00027144767325003153,0.14432177647394037,0.000327250299631231,0.3,0.0,0.1818181818181818,2.7755575615628914e-17,3
no_tcn,clutter,0.4,0.21377473363774735,0.00021748386858804985,0.09621453496727624,0.0003562295952856327,0.20000000000000004,2.7755575615628914e-17,0.06857142857142857,0.0,3
no_tcn,clutter,0.6,0.20275240994419078,1.7937767153388464e-05,0.07424130412292618,2.3093644889735404e-05,0.20000000000000004,2.7755575615628914e-17,0.06666666666666667,0.0,3
no_tcn,clutter,0.8,0.20030441400304413,8.220117577889518e-05,0.06818005449543015,0.00018305439078217315,0.20000000000000004,2.7755575615628914e-17,0.06666666666666667,0.0,3
no_tcn,missing,0.0,0.8962709284627093,0.0,0.883690461050391,0.0,0.9,0.0,0.8666666666666666,0.0,1
no_tcn,missing,0.1,0.8978944698122779,0.00028191413966121095,0.8862512406243995,0.000304021479801228,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_tcn,missing,0.2,0.8993277524099441,0.0002678679868333796,0.8886550993126364,0.00031369492983593714,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_tcn,missing,0.3,0.9002283105022831,8.220117577889518e-05,0.8907791931844035,5.231178236854202e-05,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_tcn,missing,0.4,0.9010908168442414,0.0002530433452975424,0.8936336991194634,0.0004326636052363332,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_tcn,missing,0.5,0.8997082699137494,0.00048165493521177616,0.8939170924444396,0.0004350637825193996,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_tcn,missing,0.6,0.8917554540842212,0.001071471947333469,0.8883179826750925,0.0011125160283398515,0.9666666666666667,0.0,0.9657142857142859,0.0,3
no_tcn,missing,0.7,0.8699518011161848,0.0010454810266359517,0.8686950488503591,0.0011482342944884529,0.9666666666666667,0.0,0.9657142857142859,0.0,3
no_tcn,noise,0.0,0.8962709284627093,0.0,0.883690461050391,0.0,0.9,0.0,0.8666666666666666,0.0,1
no_tcn,noise,0.01,0.8947742262810756,1.7937767153388464e-05,0.8818588945364224,9.559051839407216e-05,0.9,0.0,0.8666666666666666,0.0,3
no_tcn,noise,0.02,0.8909817351598174,0.0002466035273366856,0.8769056557829139,0.00031230782039618626,0.9,0.0,0.8666666666666666,0.0,3
no_tcn,noise,0.05,0.8719051243023846,0.0004137368450101645,0.8516999709066937,0.00048216734496916194,0.9,0.0,0.8666666666666666,0.0,3
no_tcn,noise,0.08,0.8371892440385591,0.0003322120967455026,0.8097722213592752,0.0002564515921622037,0.8666666666666667,0.0,0.8400000000000002,1.1102230246251565e-16,3
no_tcn,noise,0.1,0.8116565195332318,0.000874546635004459,0.7794550801136456,0.0010777658507064867,0.8000000000000002,1.1102230246251565e-16,0.75,0.0,3
no_transformer,clutter,0.0,0.8829908675799086,0.0,0.8674996257170052,0.0,0.9,0.0,0.8666666666666666,0.0,1
no_transformer,clutter,0.1,0.23268645357686454,0.0007927194313546325,0.19508875355168356,0.0011051672943866722,0.20000000000000004,2.7755575615628914e-17,0.12,0.0,3
no_transformer,clutter,0.2,0.1363140537798072,0.00046741567155475484,0.07230456086603265,0.000613662315918574,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
no_transformer,clutter,0.4,0.10117960426179605,6.213824816801227e-05,0.020532965856424494,0.0001224249933876292,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
no_transformer,clutter,0.6,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
no_transformer,clutter,0.8,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
no_transformer,missing,0.0,0.8829908675799086,0.0,0.8674996257170052,0.0,0.9,0.0,0.8666666666666666,0.0,1
no_transformer,missing,0.1,0.8825342465753425,0.0002963805541741923,0.8680613382343775,0.0003584494085200571,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,missing,0.2,0.8836757990867579,0.0002174838685880628,0.870259666737728,0.0001684517888326857,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,missing,0.3,0.8840563165905632,0.00026545471253750777,0.8717847686495275,0.00025405233009181114,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,missing,0.4,0.8849441907661086,0.0002678679868333796,0.8742663456559615,0.00026609459770034053,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,missing,0.5,0.8858701166920345,0.0004993663035268444,0.877143514947406,0.0004860731970132478,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,missing,0.6,0.8873033992897006,0.0004102222635412689,0.8810976292030199,0.0004540132978691384,0.9333333333333332,1.1102230246251565e-16,0.9250000000000002,1.1102230246251565e-16,3
no_transformer,missing,0.7,0.8898274987316084,0.0007971718093592715,0.8866751285367084,0.0008147448062140019,0.9666666666666667,0.0,0.9657142857142856,0.0,3
no_transformer,noise,0.0,0.8829908675799086,0.0,0.8674996257170052,0.0,0.9,0.0,0.8666666666666666,0.0,1
no_transformer,noise,0.01,0.8831557584982243,0.00020686842250508224,0.8673476571283804,0.0002746752514191474,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,noise,0.02,0.8826737696600709,0.00015943436187180424,0.866052902885392,0.0002945822597250546,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,noise,0.05,0.875177574835109,0.0002642398104515527,0.853568921528128,0.0006721666212701629,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,noise,0.08,0.8579401319127347,0.00020214836948896257,0.8308787356300074,0.0002681558438602529,0.9,0.0,0.8666666666666666,0.0,3
no_transformer,noise,0.1,0.8352486047691526,0.00018727578716684347,0.8027687685561995,0.00024250771807369422,0.8888888888888888,0.01571348402636772,0.8552380952380951,0.01616244071283541,3
